movie_id,title,rating,number_of_ratings,movie_link
tt0099685,Goodfellas,8.7,1400000,https://www.imdb.com/title/tt0099685/
tt0080684,Star Wars: Episode V - The Empire Strikes Back,8.7,1500000,https://www.imdb.com/title/tt0080684/
tt0088763,Back to the Future,8.5,1400000,https://www.imdb.com/title/tt0088763/
tt0095327,Grave of the Fireflies,8.5,368000,https://www.imdb.com/title/tt0095327/
tt0095765,Cinema Paradiso,8.5,310000,https://www.imdb.com/title/tt0095765/
tt0081505,The Shining,8.4,1200000,https://www.imdb.com/title/tt0081505/
tt0090605,Aliens,8.4,827000,https://www.imdb.com/title/tt0090605/
tt0082971,Raiders of the Lost Ark,8.4,1100000,https://www.imdb.com/title/tt0082971/
tt0086879,Amadeus,8.4,458000,https://www.imdb.com/title/tt0086879/
tt0082096,Das Boot,8.4,284000,https://www.imdb.com/title/tt0082096/
tt0091251,Come and See,8.3,118000,https://www.imdb.com/title/tt0091251/
tt0086250,Scarface,8.3,993000,https://www.imdb.com/title/tt0086250/
tt0087843,Once Upon a Time in America,8.3,402000,https://www.imdb.com/title/tt0087843/
tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,1200000,https://www.imdb.com/title/tt0086190/
tt0095016,Die Hard,8.2,1000000,https://www.imdb.com/title/tt0095016/
tt0084787,The Thing,8.2,514000,https://www.imdb.com/title/tt0084787/
tt0093058,Full Metal Jacket,8.2,837000,https://www.imdb.com/title/tt0093058/
tt0089881,Ran,8.2,148000,https://www.imdb.com/title/tt0089881/
tt0097576,Indiana Jones and the Last Crusade,8.2,852000,https://www.imdb.com/title/tt0097576/
tt0080678,The Elephant Man,8.2,278000,https://www.imdb.com/title/tt0080678/
tt0097165,Dead Poets Society,8.1,622000,https://www.imdb.com/title/tt0097165/
tt0088247,The Terminator,8.1,985000,https://www.imdb.com/title/tt0088247/
tt0083658,Blade Runner,8.1,869000,https://www.imdb.com/title/tt0083658/
tt0092005,Stand by Me,8.1,475000,https://www.imdb.com/title/tt0092005/
tt0096283,My Neighbor Totoro,8.1,420000,https://www.imdb.com/title/tt0096283/
tt0091763,Platoon,8.1,464000,https://www.imdb.com/title/tt0091763/
tt0087884,"Paris, Texas",8.1,136000,https://www.imdb.com/title/tt0087884/
tt0081398,Raging Bull,8.1,403000,https://www.imdb.com/title/tt0081398/
tt0093779,The Princess Bride,8.0,476000,https://www.imdb.com/title/tt0093779/
tt0095953,Rain Man,8.0,575000,https://www.imdb.com/title/tt0095953/
tt0099348,Dances with Wolves,8.0,305000,https://www.imdb.com/title/tt0099348/
tt0094625,Akira,8.0,221000,https://www.imdb.com/title/tt0094625/
tt0097216,Do the Right Thing,8.0,122000,https://www.imdb.com/title/tt0097216/
tt0087544,Nausicaä of the Valley of the Wind,8.0,194000,https://www.imdb.com/title/tt0087544/
tt0092067,Castle in the Sky,8.0,195000,https://www.imdb.com/title/tt0092067/
tt0083987,Gandhi,8.0,246000,https://www.imdb.com/title/tt0083987/
tt0083866,E.T. the Extra-Terrestrial,7.9,463000,https://www.imdb.com/title/tt0083866/
tt0080455,The Blues Brothers,7.9,226000,https://www.imdb.com/title/tt0080455/
tt0085334,A Christmas Story,7.9,176000,https://www.imdb.com/title/tt0085334/
tt0088258,This Is Spinal Tap,7.9,156000,https://www.imdb.com/title/tt0088258/
tt0093773,Predator,7.8,490000,https://www.imdb.com/title/tt0093773/
tt0096874,Back to the Future Part II,7.8,610000,https://www.imdb.com/title/tt0096874/
tt0088847,The Breakfast Club,7.8,466000,https://www.imdb.com/title/tt0088847/
tt0088846,Brazil,7.8,220000,https://www.imdb.com/title/tt0088846/
tt0087332,Ghostbusters,7.8,479000,https://www.imdb.com/title/tt0087332/
tt0091042,Ferris Bueller's Day Off,7.8,409000,https://www.imdb.com/title/tt0091042/
tt0099487,Edward Scissorhands,7.8,557000,https://www.imdb.com/title/tt0099487/
tt0100157,Misery,7.8,257000,https://www.imdb.com/title/tt0100157/
tt0099077,Awakenings,7.8,174000,https://www.imdb.com/title/tt0099077/
tt0094226,The Untouchables,7.8,349000,https://www.imdb.com/title/tt0094226/
tt0097814,Kiki's Delivery Service,7.8,183000,https://www.imdb.com/title/tt0097814/
tt0097441,Glory,7.8,151000,https://www.imdb.com/title/tt0097441/
tt0085794,The King of Comedy,7.8,129000,https://www.imdb.com/title/tt0085794/
tt0095647,Mississippi Burning,7.8,125000,https://www.imdb.com/title/tt0095647/
tt0099785,Home Alone,7.7,712000,https://www.imdb.com/title/tt0099785/
tt0089218,The Goonies,7.7,320000,https://www.imdb.com/title/tt0089218/
tt0098635,When Harry Met Sally...,7.7,263000,https://www.imdb.com/title/tt0098635/
tt0080339,Airplane!,7.7,282000,https://www.imdb.com/title/tt0080339/
tt0090756,Blue Velvet,7.7,238000,https://www.imdb.com/title/tt0090756/
tt0096438,Who Framed Roger Rabbit,7.7,230000,https://www.imdb.com/title/tt0096438/
tt0083944,First Blood,7.7,295000,https://www.imdb.com/title/tt0083944/
tt0092965,Empire of the Sun,7.7,141000,https://www.imdb.com/title/tt0092965/
tt0091605,The Name of the Rose,7.7,125000,https://www.imdb.com/title/tt0091605/
tt0084726,Star Trek II: The Wrath of Khan,7.7,134000,https://www.imdb.com/title/tt0084726/
tt0100150,Miller's Crossing,7.7,148000,https://www.imdb.com/title/tt0100150/
tt0088939,The Color Purple,7.7,103000,https://www.imdb.com/title/tt0088939/
tt0092991,Evil Dead II,7.7,193000,https://www.imdb.com/title/tt0092991/
tt0093389,The Last Emperor,7.7,118000,https://www.imdb.com/title/tt0093389/
tt0093748,"Planes, Trains & Automobiles",7.6,174000,https://www.imdb.com/title/tt0093748/
tt0099674,The Godfather Part III,7.6,447000,https://www.imdb.com/title/tt0099674/
tt0095705,The Naked Gun: From the Files of Police Squad!,7.6,216000,https://www.imdb.com/title/tt0095705/
tt0093409,Lethal Weapon,7.6,291000,https://www.imdb.com/title/tt0093409/
tt0093870,RoboCop,7.6,303000,https://www.imdb.com/title/tt0093870/
tt0091064,The Fly,7.6,220000,https://www.imdb.com/title/tt0091064/
tt0097757,The Little Mermaid,7.6,307000,https://www.imdb.com/title/tt0097757/
tt0082694,The Road Warrior,7.6,211000,https://www.imdb.com/title/tt0082694/
tt0097958,National Lampoon's Christmas Vacation,7.5,238000,https://www.imdb.com/title/tt0097958/
tt0099810,The Hunt for Red October,7.5,227000,https://www.imdb.com/title/tt0099810/
tt0086465,Trading Places,7.5,178000,https://www.imdb.com/title/tt0086465/
tt0099088,Back to the Future Part III,7.5,510000,https://www.imdb.com/title/tt0099088/
tt0100802,Total Recall,7.5,376000,https://www.imdb.com/title/tt0100802/
tt0096895,Batman,7.5,427000,https://www.imdb.com/title/tt0096895/
tt0087469,Indiana Jones and the Temple of Doom,7.5,561000,https://www.imdb.com/title/tt0087469/
tt0096754,The Abyss,7.5,206000,https://www.imdb.com/title/tt0096754/
tt0095631,Midnight Run,7.5,102000,https://www.imdb.com/title/tt0095631/
tt0097351,Field of Dreams,7.5,137000,https://www.imdb.com/title/tt0097351/
