movie_id,title,rating,number_of_ratings,movie_link
tt0095489,The Land Before Time,7.4,105000,https://www.imdb.com/title/tt0095489/
tt0095327,Grave of the Fireflies,8.5,368000,https://www.imdb.com/title/tt0095327/
tt0096895,Batman,7.5,427000,https://www.imdb.com/title/tt0096895/
tt0083987,Gandhi,8.0,246000,https://www.imdb.com/title/tt0083987/
tt0095016,Die Hard,8.2,1000000,https://www.imdb.com/title/tt0095016/
tt0172495,Gladiator,8.5,1800000,https://www.imdb.com/title/tt0172495/
tt0119177,Gattaca,7.7,342000,https://www.imdb.com/title/tt0119177/
tt0106977,The Fugitive,7.8,340000,https://www.imdb.com/title/tt0106977/
tt0104797,Malcolm X,7.7,109000,https://www.imdb.com/title/tt0104797/
tt0120338,Titanic,7.9,1400000,https://www.imdb.com/title/tt0120338/
tt0796366,Star Trek,7.9,634000,https://www.imdb.com/title/tt0796366/
tt0440963,The Bourne Ultimatum,8.0,677000,https://www.imdb.com/title/tt0440963/
tt0268978,A Beautiful Mind,8.2,1000000,https://www.imdb.com/title/tt0268978/
tt0266697,Kill Bill: Vol. 1,8.2,1300000,https://www.imdb.com/title/tt0266697/
tt0209144,Memento,8.4,1400000,https://www.imdb.com/title/tt0209144/
tt10272386,The Father,8.2,222000,https://www.imdb.com/title/tt10272386/
tt1631867,Edge of Tomorrow,7.9,790000,https://www.imdb.com/title/tt1631867/
tt1375666,Inception,8.8,2800000,https://www.imdb.com/title/tt1375666/
tt7838252,K.G.F: Chapter 1,8.2,108000,https://www.imdb.com/title/tt7838252/
tt1856101,Blade Runner 2049,8.0,734000,https://www.imdb.com/title/tt1856101/
